id,name,reactants,products,modifiers
rnR08128,[],"[['Kaempferol-3-O-galactoside', 'Kaempferol 3-O-beta-D-galactoside', 'Trifolin']]","[['Kaempferol 3-O-beta-D-glucosylgalactoside', 'Panasenoside']]","[['FG3', 'flavonol-3-O-glucoside/galactoside glucosyltransferase']]"
rnR06538,"[""kaempferol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)""]","[['Kaempferol', ""3,4',5,7-Tetrahydroxyflavone"", '3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one', ""5,7,4'-Trihydroxyflavonol"", 'C.I. 75640', 'Indigo yellow', 'Kaempherol', 'Kempferol', 'Nimbecetin', 'Pelargidenolon', 'Populnetin', 'Rhamnolutein', 'Rhamnolutin', 'Robigenin', 'Swartziol', 'Trifolitin']]","[['Quercetin', ""3,3',4,5,7-Pentahydroxyflavone"", ""3,5,7,3',4'-Pentahydroxyflavone""]]","[['CYP75A', ""flavonoid 3',5'-hydroxylase""], ['CYP75B1', ""flavonoid 3'-monooxygenase""]]"
rnR06537,"[""apigenin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)""]","[['Apigenin', ""4',5,7-Trihydroxyflavone"", ""5,7,4'-Trihydroxyflavone""]]","[['Luteolin', ""3',4',5,7-Tetrahydroxyflavone"", ""5,7,3',4'-Tetrahydroxyflavone""]]","[['CYP75A', ""flavonoid 3',5'-hydroxylase""], ['CYP75B1', ""flavonoid 3'-monooxygenase""]]"
rnR06808,['UDP-alpha-D-galactose:kaempferol 3-O-beta-D-galactosyltransferase'],"[['Kaempferol', ""3,4',5,7-Tetrahydroxyflavone"", '3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one', ""5,7,4'-Trihydroxyflavonol"", 'C.I. 75640', 'Indigo yellow', 'Kaempherol', 'Kempferol', 'Nimbecetin', 'Pelargidenolon', 'Populnetin', 'Rhamnolutein', 'Rhamnolutin', 'Robigenin', 'Swartziol', 'Trifolitin']]","[['Kaempferol-3-O-galactoside', 'Kaempferol 3-O-beta-D-galactoside', 'Trifolin']]","[['E2.4.1.234', 'kaempferol 3-O-beta-D-galactosyltransferase']]"
rnR02159,"[""3'-phosphoadenylylsulfate:quercetin 3-sulfotransferase""]","[['Quercetin', ""3,3',4,5,7-Pentahydroxyflavone"", ""3,5,7,3',4'-Pentahydroxyflavone""]]",[['Quercetin 3-sulfate']],"[['E2.8.2.25', 'flavonol 3-sulfotransferase']]"
rnR02157,"[""S-adenosyl-L-methionine:3,5,7,3',4'-pentahydroxyfavone 3-O-methyltransferase""]","[['Quercetin', ""3,3',4,5,7-Pentahydroxyflavone"", ""3,5,7,3',4'-Pentahydroxyflavone""]]","[['3-O-Methylquercetin', ""3',4',5,7-Tetrahydroxy-3-methoxyflavone"", ""3-Methoxy-5,7,3',4'-tetrahydroxyflavone""]]","[['E2.1.1.76', 'flavonol 3-O-methyltransferase']]"
rnR04900,['UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase'],"[['Isoquercitrin', 'Quercetin 3-O-glucoside', '2-(3,4-Dihidroxyphenyl)-3-(beta-D-glucofuranosyloxy)-5,7-dihydroxy-4H-1-benzopyran-4-one', 'Isotrifoliin']]","[['Rutin', '3-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one', 'Quercetin 3-rutinoside', 'Rutoside', 'Phytomelin']]","[['FG2', 'flavonol-3-O-glucoside L-rhamnosyltransferase']]"
rnR02633,"[""3'-phosphoadenylylsulfate:quercetin-3-sulfate 4'-sulfotransferase""]",[['Quercetin 3-sulfate']],"[[""Quercetin 3,4'-bissulfate""]]","[['E2.8.2.27', ""flavonol 4'-sulfotransferase""]]"
rnR06804,"[""UDP-glucose:flavonol-3-O-glucoside 2''-O-beta-D-glucosyltransferase""]","[['Kaempferol 3-O-glucoside', 'Kaempferol 3-O-beta-D-glucoside', 'Astragalin']]","[['Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside', 'Kaempferol 3-O-beta-D-sophoroside', 'Sophoraflavonoloside']]","[['FG3', 'flavonol-3-O-glucoside/galactoside glucosyltransferase']]"
rnR06815,['S-adenosyl-L-methionine:myricetin O-methyltransferase'],"[['Myricetin', ""3,5,7,3',4',5'-Hexahydroxyflavone""]]","[['Laricitrin', ""3'-O-Methylmyricetin""]]","[['AOMT, CROMT2', 'flavonoid O-methyltransferase']]"
rnR06611,['UDPglucose:flavonol 3-O-D-glucosyltransferase'],"[['Kaempferol', ""3,4',5,7-Tetrahydroxyflavone"", '3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one', ""5,7,4'-Trihydroxyflavonol"", 'C.I. 75640', 'Indigo yellow', 'Kaempherol', 'Kempferol', 'Nimbecetin', 'Pelargidenolon', 'Populnetin', 'Rhamnolutein', 'Rhamnolutin', 'Robigenin', 'Swartziol', 'Trifolitin']]","[['Kaempferol 3-O-glucoside', 'Kaempferol 3-O-beta-D-glucoside', 'Astragalin']]","[['E2.4.1.91', 'flavonol 3-O-glucosyltransferase']]"
rnR02158,['UDPglucose:flavonol 3-O-D-glucosyltransferase'],"[['Quercetin', ""3,3',4,5,7-Pentahydroxyflavone"", ""3,5,7,3',4'-Pentahydroxyflavone""]]","[['Isoquercitrin', 'Quercetin 3-O-glucoside', '2-(3,4-Dihidroxyphenyl)-3-(beta-D-glucofuranosyloxy)-5,7-dihydroxy-4H-1-benzopyran-4-one', 'Isotrifoliin']]","[['E2.4.1.91', 'flavonol 3-O-glucosyltransferase']]"
rnR06816,['S-adenosyl-L-methionine:myricetin O-methyltransferase'],"[['Laricitrin', ""3'-O-Methylmyricetin""]]","[['Syringetin', ""3',5'-O-Dimethylmyricetin"", ""3,5,7,4'-Tetrahydroxy-3',5'-dimethoxyflavone""]]","[['AOMT, CROMT2', 'flavonoid O-methyltransferase']]"
rnR08127,['beta-D-glucuronoside glucuronosohydrolase'],"[[""Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide""]]","[['Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]', 'Luteolin 7-O-beta-D-diglucuronide']]","[['uidA, GUSB', 'beta-glucuronidase']]"
rnR04618,"[""malonyl-CoA:flavone-7-O-beta-D-glucoside 6''-O-malonyltransferase""]","[['Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]', ""7-O-(beta-D-Apiofuranosyl-1,2-beta-D-glucosyl)-5,7,4'-trihydroxyflavone"", 'Apiin', '7-[(2-O-D-Apio-beta-D-furanosyl-beta-D-glucopyranosyl)oxy]-5-hydroxy-2-(4-hydroxy-phenyl)-4H-1-benzopyran-4-one', 'Apigenin-7-apioglucoside', 'Apioside']]","[['Malonylapiin', 'Apigenin 7-O-[beta-D-apiosyl-(1->2)-(6-malonyl-beta-D-glucoside)]']]","[['IF7MAT', ""isoflavone 7-O-glucoside-6''-O-malonyltransferase""]]"
rnR06829,"[""UDP-L-rhamnose:luteolin-7-O-beta-D-glucoside 2''-O-alpha-L-rhamnosyltransferase""]","[['Luteolin 7-O-beta-D-glucoside', 'Luteolin 7-O-glucoside', ""7-O-beta-D-Glucosyl-5,7,3',4'-tetrahydroxyflavone"", 'Cynaroside', 'Luteoloside']]","[['Scolymoside', 'Luteolin-7-O-rhamnoside', 'Luteolin 7-O-neohesperidoside', 'Veronicastroside']]","[['C12RT1', ""flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase""]]"
rnR06826,"[""UDP-L-rhamnose:apigenin 7-O-beta-D-glucoside 2''-O-beta-L-rhamnosyltransferase""]","[['Apigenin 7-O-beta-D-glucoside', ""7-O-beta-D-Glucosyl-5,7,4'-trihydroxyflavone"", 'Apigenin 7-O-glucoside', 'Apigetrin', '7-(beta-D-Glucopyranosyloxy)-5-hydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one', 'Cosmetin', 'Cosmosiin']]","[['Apigenin 7-O-neohesperidoside', 'Rhoifolin', 'Rhoifoloside']]","[['C12RT1', ""flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase""]]"
rnR09803,['UDP-L-rhamnose:quercetin 3-O-rhamnosyltransferase'],"[['Quercetin', ""3,3',4,5,7-Pentahydroxyflavone"", ""3,5,7,3',4'-Pentahydroxyflavone""]]","[['Quercitrin', 'Quercetin 3-L-rhamnoside', 'Quercetin 3-O-alpha-L-rhamnopyranoside']]","[['UGT78D1', 'flavonol-3-O-rhamnosyltransferase']]"
rnR06812,"[""UDP-glucose:flavonol-3-O-glucoside 2''-O-beta-D-glucosyltransferase""]","[['Isoquercitrin', 'Quercetin 3-O-glucoside', '2-(3,4-Dihidroxyphenyl)-3-(beta-D-glucofuranosyloxy)-5,7-dihydroxy-4H-1-benzopyran-4-one', 'Isotrifoliin']]","[['Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside', 'Baimaside', 'Quercetin 3-beta-D-sophoroside', 'Quercetin 3-O-sophoroside', 'QUOSP']]","[['FG3', 'flavonol-3-O-glucoside/galactoside glucosyltransferase']]"
rnR09804,['UDP-glucose:quercitrin 7-O-glucosyltransferase'],"[['Quercitrin', 'Quercetin 3-L-rhamnoside', 'Quercetin 3-O-alpha-L-rhamnopyranoside']]",[['Quercetin 3-O-rhamnoside 7-O-glucoside']],"[['UGT73C6', 'flavonol-3-O-L-rhamnoside-7-O-glucosyltransferase']]"
rnR09802,['UDP-L-rhamnose:kaempferol 3-O-rhamnosyltransferase'],"[['Kaempferol', ""3,4',5,7-Tetrahydroxyflavone"", '3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one', ""5,7,4'-Trihydroxyflavonol"", 'C.I. 75640', 'Indigo yellow', 'Kaempherol', 'Kempferol', 'Nimbecetin', 'Pelargidenolon', 'Populnetin', 'Rhamnolutein', 'Rhamnolutin', 'Robigenin', 'Swartziol', 'Trifolitin']]","[['Afzelin', 'Kaempferin', 'Kaempferol 3-O-alpha-L-rhamnoside']]","[['UGT78D1', 'flavonol-3-O-rhamnosyltransferase']]"
rnR10258,"['quercetin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase']","[['Quercetin', ""3,3',4,5,7-Pentahydroxyflavone"", ""3,5,7,3',4'-Pentahydroxyflavone""]]","[['Myricetin', ""3,5,7,3',4',5'-Hexahydroxyflavone""]]","[['CYP75A', ""flavonoid 3',5'-hydroxylase""]]"
rnR12046,['UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase'],"[['Kaempferol 3-O-glucoside', 'Kaempferol 3-O-beta-D-glucoside', 'Astragalin']]","[['Kaempferol-3-O-rutinoside', 'Nictoflorin']]","[['FG2', 'flavonol-3-O-glucoside L-rhamnosyltransferase']]"
rnR12047,['UDP-glucose:afzelin 7-O-glucosyltransferase'],"[['Afzelin', 'Kaempferin', 'Kaempferol 3-O-alpha-L-rhamnoside']]",[['Kaempferol 3-O-rhamnoside-7-O-glucoside']],"[['UGT73C6', 'flavonol-3-O-L-rhamnoside-7-O-glucosyltransferase']]"
